,brand,efficancy_long,efficancy_short,lavant,presentation,product,quality,rincable,smell,texture,chemical,chemical_name
6210,azzaro,,,,4.0,Intense Moisturizer - Azzaro pour Homme,3.0,,5.0,4.0,13463-67-7,Titanium dioxide
11351,azzaro,4.9,4.9,,4.7,Deodorant Stick Alcohol Free - Chrome,4.5,,5.0,5.0,13463-67-7,Titanium dioxide
11352,azzaro,1.0,2.0,,2.0,Deodorant Spray - Chrome,1.0,,3.0,3.0,13463-67-7,Titanium dioxide
11354,azzaro,5.0,5.0,,4.5,Deodorant Stick - Azzaro pour Homme,4.5,,5.0,5.0,13463-67-7,Titanium dioxide
11355,azzaro,,,,4.0,After Shave Balm - Chrome,3.0,,4.8,3.8,13463-67-7,Titanium dioxide
0,roc,3.2,3.7,,3.8,Daily Care - Hydra + Mat,3.2,,3.5,4.1,13463-67-7,Titanium dioxide
523,roc,,,,4.4,Solar Emulsion Very High Protection SPF 30 IP - Protect Minesol,3.9,,3.9,4.7,13463-67-7,Titanium dioxide
966,roc,,,,4.6,Spray SPF30 - Protect Minesol,4.6,,4.6,5.0,13463-67-7,Titanium dioxide
1382,roc,,,,3.9,Foaming Cleansing Gel,3.4,,3.5,3.8,13463-67-7,Titanium dioxide
1810,roc,3.3,4.0,,3.9,Deodorant Stick - Cheops,3.4,,4.1,4.1,13463-67-7,Titanium dioxide
2164,roc,3.2,4.0,,4.2,Unifying Cleansing Milk - Soya Unify,3.4,,3.2,4.2,13463-67-7,Titanium dioxide
2570,roc,2.3,2.5,,3.2,Anti-wrinkle Day Cream - Retin-Ox Correxion,2.2,,2.8,3.4,13463-67-7,Titanium dioxide
2580,roc,4.0,4.1,,4.5,Serum Max - Retin-Ox +,4.0,,3.8,4.5,13463-67-7,Titanium dioxide
2694,roc,3.6,3.7,,3.8,Day Moisturizer Anti-Wrinkle Skin Dry Skin - Retin-Ox +,3.2,,3.9,4.3,13463-67-7,Titanium dioxide
2752,roc,3.6,3.9,,4.1,Replenishing Moisturizer Normal Skin Care - Hydra +,3.3,,4.4,4.2,13463-67-7,Titanium dioxide
3015,roc,,,,3.4,Retinol Anti-Cellulite - Triple Action,2.6,,3.3,3.6,13463-67-7,Titanium dioxide
3109,roc,2.0,2.0,,3.6,Intensive Eye - Retin-Ox Correxion,2.1,,3.3,3.7,13463-67-7,Titanium dioxide
3282,roc,,,,4.1,Dermabrasion RENEWEX,3.1,,3.4,3.5,13463-67-7,Titanium dioxide
